when	tower	run	variant	paced_p50_ms	paced_p95_ms	b2b_p50_ms	b2b_p95_ms	n_each	note
2026-09-26 13:25	b	I1	base	98.81	116.45	118.15	122.72	300	scripts/bench_interleave.py: variants in one process, deciding in turn, so they share the GPU's clock and the game's load
2026-09-26 13:25	b	I1	graph	94.87	113.16	114.88	117.44	300	whole-decision CUDA graph: -4% paced, -3% back to back (the separate-process runs had suggested far more: drift)
2026-09-26 13:45	a	I2	base	61.15	111.42	39.6	60.88	300
2026-09-26 13:45	a	I2	graph	57.86	108.44	35.69	53.15	300
2026-09-26 13:45	a	I2	graph+lean_tower	56.79	107.42	34.89	51.97	300	exact: -7% paced, -12% back to back
2026-09-26 14:05	b	I3	graph+lean_tower	134.8	252.67	156.29	190.36	200	the second PC under heavier load (its own policy deciding too?)
2026-09-26 14:05	b	I3	fp16+graph+lean	88.63	157.79	104.0	165.16	200	fast: -34% paced
2026-09-26 14:05	b	I3	fp16+compile+graph+lean	71.99	122.48	79.6	148.07	200	fast: -47% paced
2026-09-26 14:45	a	F1	base	57.11	117.04	47.79	105.61	300	final: base = unmodified eager path
2026-09-26 14:45	a	F1	lean=true	52.12	106.13	41.46	99.22	300	final exact default for play-policy and practice
2026-09-26 14:45	a	F1	lean=true;fast=true	35.03	73.62	28.67	73.22	300	final --fast
2026-09-26 14:50	b	F1	base	168.63	198.19	123.94	199.02	300
2026-09-26 14:50	b	F1	lean=true	158.54	189.15	114.42	190.14	300
2026-09-26 14:50	b	F1	lean=true;fast=true	118.29	149.0	76.43	146.92	300
2026-09-26 15:05	a	F2	base	61.03	119.98	44.68	56.52	300	
2026-09-26 15:05	a	F2	lean=true	53.65	108.87	39.73	50.44	300	
2026-09-26 15:05	a	F2	lean=true;fast=true	36.95	69.92	27.47	34.24	300	
2026-09-26 15:10	b	F2	base	117.46	249.16	114.24	121.61	300	
2026-09-26 15:10	b	F2	lean=true	109.57	201.44	104.88	111.32	300	
2026-09-26 15:10	b	F2	lean=true;fast=true	70.54	118.17	69.94	75.31	300	
